product_name,categories_tags,ingredients_text,fat_100g,sugars_100g,proteins_100g
Plus,"en:beverages-and-beverages-preparations,en:beverages","wate NUTRITIONAL INFORMATION for 250 ml of product ready for consumption INFORMAZIONI NUTRIZIONALI per 250 ml di prodotto pronto da consumare Valore Energetico/Energy 905,67 kJ/215,13 kcal%VNR Grassi, di cui: /Fat, of which: ac acidi grassi saturi / Saturates grassi monoinsaturi monounsaturated fatty acids acidi grassi poli insaturi polyunsaturated fatty acids di cui acido linoleico/ of which linoleic acid Carboidrati/Carbohydrate di zuccheri/of which sugar Fibry limentari /Fiber Pro/Protein Vitamina B12/Vitamin B12 Biotina (Vitamina H) /Biotin (Vitamin H) Vitamina K/Vitamin K Acido Pantotenico (Vitamina B5)/ Pantothenic Acid (Vitamin B5) Minerali/Minerals Potassio / Potassium Calcio/Calcium Fosforo/Phosphorus Magnesio/Magnesium Sale Vita e/Vitamins Vitara A/Vitamin A Vitana D/Vitamin D Vitamina E /Vitamin E Vitamina C/Vitamin C Tiamina (Vitamina B1)/Thiamine (Vitamin B1) 0,44 mg Riboflavina (Vitamina B2) / Riboflavin (Vitamin B2) 0,56 mg Niacina (Vitamina B3) / Niacin (Vitamin B3) 6,4 mg Piridossina (Vitamina B6) /Pyridoxine (Vitamin B6) 0,56 mg Folato/Folate Ferro/Iron Zinco/Zinc Rame/Copper 6,799 2,95 g 2,29 g Manganese/Manganese Selenio/Selenium loddine Sodio/Sodium Ganoderma ES/DE 1,55 g 1,08 g 22,06 g 19,77 g 1,29 g 16,7 g 0,614 g 320 mcg 40% 2 mcg 40% 4,8 mg 40% 32 mg 40% 40% 40% 40% 40% 50% 100 mcg 1,25 mcg 50% 20 mcg 40% 22,5 mcg 30% 2,4 mg 40% 760 mg 38% 397 mg 49,6% 280 mg 40% 150 mg 40% 5,3 mg 38% 3,8 mg 38% 0,4 mg 40% 0,8 mg 40% 22 mcg 40% 60 mcg 40% Ingredients P Fruttosio, Fibra di me Latte in polvere Ma 245,44 mg 200 mg germe di grandi p magnesio, Inulina Ad xantano, Fosfato d (Ganoderma lucidan sporophorum ES C Vitamina C (Acido L di zinco, Agente antag di silicio, Solfato manganese, Na Vitamina E (Aceto de Vitamina A (Acetato de di rame; Vitamina B5 Ca to); Vitamina 03 (Cole B6 (Cloridrato di pride (Riboflavina), Vitamina tiamina); Vitamina KFlac 89 (Acido pteroil-morga di potassio, Selenito da Vitamina B12 (Canecabalim Ingredients: Soy protes Fructose; Apples ber citrate; Powdered m Wheat germ all powde magnesio; Inulina Gomma di xantang Fo Ganoderma Gand (Curtis) P. Karst) sporphe mg); Vanilla flavour Vo bic Acids Zinc glo agent Silicon diode Manganese glucone n mide: Vitamin E AR cofer); Vitamin A Copper gluconate D-Pantothenic 20 ferol): Vitamin 86 P ride); Vitamin 82 Re B1 (Thiamine bydecho (Phylloquinone noglutamic acid P Sodium selende Do &quot;per porzione da 26 g con 250 ml latte parz. scremato (1,5% grassi) (Cyanocobal **serving of 26 g with 250 ml low-fat milk (1,5% fat) &quot;VNR=",6.79,19.77,16.7
Protein pudding mousse au chocolat,"en:beverages-and-beverages-preparations,en:beverages",,3.9,3.3,66.6
Whey protei,,,6.67,6.67,80.0
Whey Protein 2000g,,,5.0,5.5,75.0
Bio Flohsamenschalen gemahlen,,,1.0,0.0,3.0
Graine de courge,,,50.0,1.39999997615814,30.0
High protein iced coffee  latte macchiato,,,4.59999990463257,3.20000004768372,68.0
Sauce Sweety chili 0%,,,0.0,0.4,0.2
Whey Protein - Chocolate,en:dietary-supplements,"L-choline-bitartrate 168mg, extrait de racine de chicorée de Bruxelles (Cichorium intybus L. sativum) 350mg, enveloppe de la capsule (hydroxypropylméthycellulose), extrait de coeur et de pétale d'artichaut (Cynara scolymus) 210mg, extrait de racine de pissenlit (Taraxacum officinale) 210mg, extrait de rhizome de curcuma (Curcuma longa) 140mg dont 95% de curcuminoïdes 133mg",6.0,11.06,73.0
Caramel au beurre salé,,,25.0,44.0,0.8
Veganes Protein Schoko,"en:dietary-supplements,en:bodybuilding-supplements,en:protein-powders",,6.0,0.2,69.8
Milk away protein,,,10.0,0.8,58.0
Peanut Brittle,"en:snacks,en:sweet-snacks,en:confectioneries","Sugar, glucose syrup, peanuts (30%)",3.9,51.5,7.7
Reisprotein,,,8.7,0.5,80.0
EnergyDiet. Soupe Thai,"en:meals,en:soups","proteine isolate di soia, aromi, proteine isolate di pisello, proteine concentrate di riso, proteine in polvere di semi di girasole, proteine di semi di zucca, farina di amaranto, cannella in polvere, sucralosio, glicosidi steviolici da stevia",2.67,1.67,73.3
EarthCamp Vegan Protein Powder,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:cereal-grains,en:chia",,5.6,8.7,57.0
Vegan mix - zuppa toscana,,,7.73,3.024,13.35
MK Gold Bread Mix,,,13.0,1.0,53.0
